registered_charity_number,charity_name,income_donations_and_legacies,income,expenditure
1029161,CAMFED INTERNATIONAL,10846430,61655929,31739328
246871,PORTSMOUTH ROMAN CATHOLIC DIOCESAN TRUST (TRUST PROPERTY),10843558,14209245,14296128
1186189,BELRON RONNIE LUBNER CHARITABLE FOUNDATION,10830303,10830317,1809236
298348,WOOD GREEN ANIMAL SHELTERS,10794000,15023000,15773000
240833,THE SALISBURY DIOCESAN BOARD OF FINANCE,10725000,13011000,14524000
1133793,THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF HOLY TRINITY WITH SAINT PAUL ONSLOW SQUARE AND SAINT AUGUSTINE SOUTH KENSINGTON,10697200,11706047,9796689
1039404,DEMENTIA UK,10653513,10894052,8839830
1107507,AFRICAN AGRICULTURAL TECHNOLOGY FOUNDATION,10528594,11926959,10748902
282303,THE WORLD FEDERATION OF KHOJA SHIA ITHNA-ASHERI MUSLIM COMMUNITIES,10506386,10539908,11459908
1097482,CATHOLIC TRUST FOR ENGLAND AND WALES,10436499,13377674,11944830
249398,THE BATH AND WELLS DIOCESAN BOARD OF FINANCE,10410000,13712000,15909000
292506,CARE INTERNATIONAL UK,10360000,73877000,71117000
1150054,THE BRAIN TUMOUR CHARITY,10356000,11308000,12560000
1089490,HOPE AND HOMES FOR CHILDREN,10350515,12146799,10277321
1144812,ORPHANS IN NEED,10349619,10377107,10973037
249403,THE BIRMINGHAM DIOCESAN BOARD OF FINANCE,10343000,12256000,10990000
248502,THE BRISTOL DIOCESAN BOARD OF FINANCE LIMITED,10221000,13971000,9564000
289868,"SENSE, THE NATIONAL DEAFBLIND AND RUBELLA ASSOCIATION",10156897,69873705,69471916
1176141,LEHACHZIKOM,10119534,10119534,9927157
249972,CANTERBURY DIOCESAN BOARD OF FINANCE,10107000,12517000,11274000
234025,SHREWSBURY ROMAN CATHOLIC DIOCESAN TRUST,10098000,14241000,15923000
1124127,CATCH 22 CHARITY LIMITED,10086000,53204000,46722000
327751,THE MACKINTOSH FOUNDATION,10084187,10132903,1754899
1107827,THE LICHFIELD DIOCESAN BOARD OF FINANCE (INCORPORATED),10062000,16557000,17470000
249339,THE ROCHESTER DIOCESAN SOCIETY AND BOARD OF FINANCE,10046000,11795000,12939000
265543,MSI REPRODUCTIVE CHOICES,10036000,294440000,288101000
1152058,THE CYRIL TAYLOR CHARITABLE FOUNDATION,10024353,10210970,2283502
1183218,THE HOSKING CHARITABLE TRUST,10005000,10070368,38229
1170045,THE MOHN WESTLAKE FOUNDATION,10000000,23877198,18492995
244976,THE YORK DIOCESAN BOARD OF FINANCE LIMITED,9999000,13513000,14368000
314179,TEL AVIV UNIVERSITY TRUST,9986443,9986443,9968859
800077,THE PIERREPONT TRUST,9967282,10054160,78048
1184325,IGLESIA NI CRISTO (CHURCH OF CHRIST),9930669,10006664,8488812
1141259,THE MASTER AND FELLOWS OF THE COLLEGE OF THE GREAT HALL OF THE UNIVERSITY COMMONLY CALLED UNIVERSITY COLLEGE IN THE UNIVERSITY OF OXFORD,9930000,21901000,15554000
210760,"THE SOLDIERS, SAILORS, AIRMEN AND FAMILIES ASSOCIATION - FORCES HELP",9915000,34479000,32887000
307992,NORWOOD SCHOOLS LTD,9884000,31013000,30125000
1050327,"THE LEPROSY MISSION ENGLAND, WALES, THE CHANNEL ISLANDS AND THE ISLE OF MAN",9857693,9989434,7680630
1044071,BRITISH UNION CONFERENCE OF SEVENTH-DAY ADVENTISTS,9794069,15500086,12415680
326730,Asthma and Lung UK,9787000,20089000,10791000
1165398,UNIVERSITY COLLEGE LONDON HOSPITALS CHARITY,9774000,21938000,22669000
250275,THE UNITED KINGDOM ISLAMIC MISSION,9760819,10249220,7525517
1122062,BAUER RADIO'S CASH FOR KIDS CHARITIES,9733911,12938461,12020239
1156200,ONE NATION,9690306,9690306,9110470
1146420,ABF THE SOLDIERS' CHARITY,9687837,14777335,18113990
1126075,FRIENDS OF MERCAZ HATORAH BELZ MACNIVKA,9683832,9683832,9723152
288467,DUCHESNE TRUST,9654455,10718232,6142199
1174882,CHURCH REVITALISATION TRUST,9613896,9636113,7203250
1110114,DAWAT-E-ISLAMI UK,9611670,9614207,8967536
1059050,NORWOOD RAVENSWOOD,9603000,31234000,33169000
252878,ARUNDEL AND BRIGHTON DIOCESAN TRUST,9594000,13870000,14272000
1141565,BANGOR UNIVERSITY,9591000,147696000,136620000
1132208,THE METHODIST CHURCH IN GREAT BRITAIN,9558000,44364000,44353000
209015,THE SOCIETY FOR THE PROTECTION OF ANIMALS ABROAD,9539168,10017387,7960014
287610,PREMIER CHRISTIAN MEDIA TRUST,9519263,13969664,13878265
1008196,OPERATION MOBILISATION,9494558,10004757,9293455
1144606,ST. JAMES'S PLACE CHARITABLE FOUNDATION,9480869,9541146,11175305
1061012,BIRMINGHAM ROYAL BALLET,9465680,15488313,15560200
1045501,NORTH ENGLAND CONFERENCE OF SEVENTH-DAY ADVENTISTS,9423657,9604148,9988822
299128,UNITED CHRISTIAN BROADCASTERS LIMITED,9391020,9577272,7445590
1092236,CONCERN WORLDWIDE (UK),9390171,34468633,33685242
802047,RONALD MCDONALD HOUSE CHARITIES (UK),9363000,11581000,9686000
1107385,DEPAUL INTERNATIONAL,9344000,44206000,41678000
234092,BRENTWOOD ROMAN CATHOLIC DIOCESAN TRUST,9332591,12691776,12845608
1126283,THE NATIONAL MUSEUM OF THE ROYAL NAVY,9313000,18730000,18685000
700520,SHEFFIELD CITY TRUST,9290000,40184000,41710000
248287,THE DURHAM DIOCESAN BOARD OF FINANCE,9262861,12253197,10322816
1173961,THE COMMUNITY OF ST JOHN BAPTIST GENERAL PURPOSES CIO,9250706,9599584,1075184
293358,HEARING DOGS FOR DEAF PEOPLE,9199195,10392467,9854791
209691,BRITISH FRIENDS OF THE HEBREW UNIVERSITY OF JERUSALEM,9184631,9808882,9510303
803716,ANTHONY NOLAN,9140000,55389000,55260000
1130866,"THE PAROCHIAL CHURCH COUNCIL OF THE ECCLESIASTICAL PARISH OF ST MICHAEL LE BELFREY WITH ST CUTHBERT, YORK",9136653,9247848,1225695
1140898,BRISTOL MUSIC TRUST,9135728,11171572,10108753
266120,THE PORTRACK CHARITABLE TRUST,9111284,9298097,940365
801130,THE MENTAL HEALTH FOUNDATION,9007173,12606124,6501247
218186,LEONARD CHESHIRE DISABILITY,9006000,151631000,166333000
1091263,THE LONDON COMMUNITY FOUNDATION,8966000,10064000,10405000
